Gene.ID,Transcript.ID,CDS.Type,UTR.Type
GUJ93_ZPchr0001g29299,gnl|KimballUMN|GUJ93_ZPchr0001g29299-1,1,1
GUJ93_ZPchr0001g29300,gnl|KimballUMN|GUJ93_ZPchr0001g29300-1,1,1
GUJ93_ZPchr0001g29301,gnl|KimballUMN|GUJ93_ZPchr0001g29301-1,1,1
GUJ93_ZPchr0001g29302,gnl|KimballUMN|GUJ93_ZPchr0001g29302-1,1,1
GUJ93_ZPchr0001g29303,gnl|KimballUMN|GUJ93_ZPchr0001g29303-1,1,1
GUJ93_ZPchr0001g29304,gnl|KimballUMN|GUJ93_ZPchr0001g29304-1,1,1
GUJ93_ZPchr0001g29305,gnl|KimballUMN|GUJ93_ZPchr0001g29305-1,1,1
GUJ93_ZPchr0001g29306,gnl|KimballUMN|GUJ93_ZPchr0001g29306-1,1,1
GUJ93_ZPchr0001g29307,gnl|KimballUMN|GUJ93_ZPchr0001g29307-1,1,1
GUJ93_ZPchr0001g29308,gnl|KimballUMN|GUJ93_ZPchr0001g29308-3,1,1
GUJ93_ZPchr0001g29308,gnl|KimballUMN|GUJ93_ZPchr0001g29308-1,1,2
GUJ93_ZPchr0001g29308,gnl|KimballUMN|GUJ93_ZPchr0001g29308-2,1,3
GUJ93_ZPchr0001g29309,gnl|KimballUMN|GUJ93_ZPchr0001g29309-1,1,1
GUJ93_ZPchr0001g29310,gnl|KimballUMN|GUJ93_ZPchr0001g29310-1,1,1
GUJ93_ZPchr0001g29311,gnl|KimballUMN|GUJ93_ZPchr0001g29311-1,1,1
GUJ93_ZPchr0001g29312,gnl|KimballUMN|GUJ93_ZPchr0001g29312-1,1,1
GUJ93_ZPchr0001g29313,gnl|KimballUMN|GUJ93_ZPchr0001g29313-1,1,1
GUJ93_ZPchr0001g29314,gnl|KimballUMN|GUJ93_ZPchr0001g29314-1,1,1
GUJ93_ZPchr0001g29315,gnl|KimballUMN|GUJ93_ZPchr0001g29315-1,1,1
GUJ93_ZPchr0001g29316,gnl|KimballUMN|GUJ93_ZPchr0001g29316-1,1,1
GUJ93_ZPchr0001g29317,gnl|KimballUMN|GUJ93_ZPchr0001g29317-1,1,1
GUJ93_ZPchr0001g29318,gnl|KimballUMN|GUJ93_ZPchr0001g29318-1,1,1
GUJ93_ZPchr0001g29319,gnl|KimballUMN|GUJ93_ZPchr0001g29319-1,1,1
GUJ93_ZPchr0001g29320,gnl|KimballUMN|GUJ93_ZPchr0001g29320-1,1,1
GUJ93_ZPchr0001g29321,gnl|KimballUMN|GUJ93_ZPchr0001g29321-1,1,1
GUJ93_ZPchr0001g29322,gnl|KimballUMN|GUJ93_ZPchr0001g29322-1,1,1
GUJ93_ZPchr0001g29323,gnl|KimballUMN|GUJ93_ZPchr0001g29323-1,1,1
GUJ93_ZPchr0001g29324,gnl|KimballUMN|GUJ93_ZPchr0001g29324-1,1,1
GUJ93_ZPchr0001g29325,gnl|KimballUMN|GUJ93_ZPchr0001g29325-1,1,1
GUJ93_ZPchr0001g29326,gnl|KimballUMN|GUJ93_ZPchr0001g29326-1,1,1
GUJ93_ZPchr0001g29326,gnl|KimballUMN|GUJ93_ZPchr0001g29326-2,2,1
GUJ93_ZPchr0001g29327,gnl|KimballUMN|GUJ93_ZPchr0001g29327-1,1,1
GUJ93_ZPchr0001g29328,gnl|KimballUMN|GUJ93_ZPchr0001g29328-1,1,1
GUJ93_ZPchr0001g29329,gnl|KimballUMN|GUJ93_ZPchr0001g29329-2,1,1
GUJ93_ZPchr0001g29329,gnl|KimballUMN|GUJ93_ZPchr0001g29329-3,2,1
GUJ93_ZPchr0001g29329,gnl|KimballUMN|GUJ93_ZPchr0001g29329-1,3,1
GUJ93_ZPchr0001g29330,gnl|KimballUMN|GUJ93_ZPchr0001g29330-1,1,1
GUJ93_ZPchr0001g29331,gnl|KimballUMN|GUJ93_ZPchr0001g29331-1,1,1
GUJ93_ZPchr0001g29332,gnl|KimballUMN|GUJ93_ZPchr0001g29332-1,1,1
GUJ93_ZPchr0001g29333,gnl|KimballUMN|GUJ93_ZPchr0001g29333-1,1,1
GUJ93_ZPchr0001g29334,gnl|KimballUMN|GUJ93_ZPchr0001g29334-1,1,1
GUJ93_ZPchr0001g29335,gnl|KimballUMN|GUJ93_ZPchr0001g29335-1,1,1
GUJ93_ZPchr0001g29336,gnl|KimballUMN|GUJ93_ZPchr0001g29336-1,1,1
GUJ93_ZPchr0001g29337,gnl|KimballUMN|GUJ93_ZPchr0001g29337-1,1,1
GUJ93_ZPchr0001g29338,gnl|KimballUMN|GUJ93_ZPchr0001g29338-1,1,1
GUJ93_ZPchr0001g29339,gnl|KimballUMN|GUJ93_ZPchr0001g29339-1,1,1
GUJ93_ZPchr0001g29340,gnl|KimballUMN|GUJ93_ZPchr0001g29340-1,1,1
GUJ93_ZPchr0001g29341,gnl|KimballUMN|GUJ93_ZPchr0001g29341-1,1,1
GUJ93_ZPchr0001g29342,gnl|KimballUMN|GUJ93_ZPchr0001g29342-1,1,1
GUJ93_ZPchr0001g29343,gnl|KimballUMN|GUJ93_ZPchr0001g29343-1,1,1
GUJ93_ZPchr0001g29344,gnl|KimballUMN|GUJ93_ZPchr0001g29344-1,1,1
GUJ93_ZPchr0001g29345,gnl|KimballUMN|GUJ93_ZPchr0001g29345-1,1,1
GUJ93_ZPchr0001g29345,gnl|KimballUMN|GUJ93_ZPchr0001g29345-2,2,1
GUJ93_ZPchr0001g29346,gnl|KimballUMN|GUJ93_ZPchr0001g29346-1,1,1
GUJ93_ZPchr0001g29347,gnl|KimballUMN|GUJ93_ZPchr0001g29347-1,1,1
GUJ93_ZPchr0001g29348,gnl|KimballUMN|GUJ93_ZPchr0001g29348-1,1,1
GUJ93_ZPchr0001g29349,gnl|KimballUMN|GUJ93_ZPchr0001g29349-1,1,1
GUJ93_ZPchr0001g29350,gnl|KimballUMN|GUJ93_ZPchr0001g29350-1,1,1
GUJ93_ZPchr0001g29351,gnl|KimballUMN|GUJ93_ZPchr0001g29351-1,1,1
GUJ93_ZPchr0001g29352,gnl|KimballUMN|GUJ93_ZPchr0001g29352-1,1,1
GUJ93_ZPchr0001g29353,gnl|KimballUMN|GUJ93_ZPchr0001g29353-1,1,1
GUJ93_ZPchr0001g29354,gnl|KimballUMN|GUJ93_ZPchr0001g29354-1,1,1
GUJ93_ZPchr0001g29355,gnl|KimballUMN|GUJ93_ZPchr0001g29355-1,1,1
GUJ93_ZPchr0001g29356,gnl|KimballUMN|GUJ93_ZPchr0001g29356-1,1,1
GUJ93_ZPchr0001g29357,gnl|KimballUMN|GUJ93_ZPchr0001g29357-2,1,1
GUJ93_ZPchr0001g29357,gnl|KimballUMN|GUJ93_ZPchr0001g29357-1,2,1
GUJ93_ZPchr0001g29358,gnl|KimballUMN|GUJ93_ZPchr0001g29358-1,1,1
GUJ93_ZPchr0001g29359,gnl|KimballUMN|GUJ93_ZPchr0001g29359-5,1,1
GUJ93_ZPchr0001g29359,gnl|KimballUMN|GUJ93_ZPchr0001g29359-4,2,1
GUJ93_ZPchr0001g29359,gnl|KimballUMN|GUJ93_ZPchr0001g29359-1,3,1
GUJ93_ZPchr0001g29359,gnl|KimballUMN|GUJ93_ZPchr0001g29359-2,3,2
GUJ93_ZPchr0001g29359,gnl|KimballUMN|GUJ93_ZPchr0001g29359-3,4,1
GUJ93_ZPchr0001g29360,gnl|KimballUMN|GUJ93_ZPchr0001g29360-1,1,1
GUJ93_ZPchr0001g29361,gnl|KimballUMN|GUJ93_ZPchr0001g29361-1,1,1
GUJ93_ZPchr0001g29362,gnl|KimballUMN|GUJ93_ZPchr0001g29362-1,1,1
GUJ93_ZPchr0001g29363,gnl|KimballUMN|GUJ93_ZPchr0001g29363-2,1,1
GUJ93_ZPchr0001g29363,gnl|KimballUMN|GUJ93_ZPchr0001g29363-1,1,2
GUJ93_ZPchr0001g29364,gnl|KimballUMN|GUJ93_ZPchr0001g29364-1,1,1
GUJ93_ZPchr0001g29365,gnl|KimballUMN|GUJ93_ZPchr0001g29365-1,1,1
GUJ93_ZPchr0001g29366,gnl|KimballUMN|GUJ93_ZPchr0001g29366-1,1,1
GUJ93_ZPchr0001g29367,gnl|KimballUMN|GUJ93_ZPchr0001g29367-1,1,1
GUJ93_ZPchr0001g29368,gnl|KimballUMN|GUJ93_ZPchr0001g29368-1,1,1
GUJ93_ZPchr0001g29369,gnl|KimballUMN|GUJ93_ZPchr0001g29369-1,1,1
GUJ93_ZPchr0001g29370,gnl|KimballUMN|GUJ93_ZPchr0001g29370-1,1,1
GUJ93_ZPchr0001g29371,gnl|KimballUMN|GUJ93_ZPchr0001g29371-1,1,1
GUJ93_ZPchr0001g29372,gnl|KimballUMN|GUJ93_ZPchr0001g29372-1,1,1
GUJ93_ZPchr0001g29373,gnl|KimballUMN|GUJ93_ZPchr0001g29373-1,1,1
GUJ93_ZPchr0001g29374,gnl|KimballUMN|GUJ93_ZPchr0001g29374-1,1,1
GUJ93_ZPchr0001g29374,gnl|KimballUMN|GUJ93_ZPchr0001g29374-2,2,1
GUJ93_ZPchr0001g29375,gnl|KimballUMN|GUJ93_ZPchr0001g29375-1,1,1
GUJ93_ZPchr0001g29376,gnl|KimballUMN|GUJ93_ZPchr0001g29376-1,1,1
GUJ93_ZPchr0001g29377,gnl|KimballUMN|GUJ93_ZPchr0001g29377-1,1,1
GUJ93_ZPchr0001g29378,gnl|KimballUMN|GUJ93_ZPchr0001g29378-1,1,1
GUJ93_ZPchr0001g29379,gnl|KimballUMN|GUJ93_ZPchr0001g29379-1,1,1
GUJ93_ZPchr0001g29380,gnl|KimballUMN|GUJ93_ZPchr0001g29380-1,1,1
GUJ93_ZPchr0001g29381,gnl|KimballUMN|GUJ93_ZPchr0001g29381-1,1,1
GUJ93_ZPchr0001g29382,gnl|KimballUMN|GUJ93_ZPchr0001g29382-1,1,1
GUJ93_ZPchr0001g29383,gnl|KimballUMN|GUJ93_ZPchr0001g29383-1,1,1
GUJ93_ZPchr0001g29384,gnl|KimballUMN|GUJ93_ZPchr0001g29384-1,1,1
GUJ93_ZPchr0001g29385,gnl|KimballUMN|GUJ93_ZPchr0001g29385-1,1,1
GUJ93_ZPchr0001g29386,gnl|KimballUMN|GUJ93_ZPchr0001g29386-1,1,1
GUJ93_ZPchr0001g29387,gnl|KimballUMN|GUJ93_ZPchr0001g29387-1,1,1
GUJ93_ZPchr0001g29388,gnl|KimballUMN|GUJ93_ZPchr0001g29388-1,1,1
GUJ93_ZPchr0001g29389,gnl|KimballUMN|GUJ93_ZPchr0001g29389-1,1,1
GUJ93_ZPchr0001g29390,gnl|KimballUMN|GUJ93_ZPchr0001g29390-1,1,1
GUJ93_ZPchr0001g29391,gnl|KimballUMN|GUJ93_ZPchr0001g29391-1,1,1
GUJ93_ZPchr0001g29392,gnl|KimballUMN|GUJ93_ZPchr0001g29392-1,1,1
GUJ93_ZPchr0001g29393,gnl|KimballUMN|GUJ93_ZPchr0001g29393-1,1,1
GUJ93_ZPchr0001g29394,gnl|KimballUMN|GUJ93_ZPchr0001g29394-1,1,1
GUJ93_ZPchr0001g29395,gnl|KimballUMN|GUJ93_ZPchr0001g29395-1,1,1
GUJ93_ZPchr0001g29396,gnl|KimballUMN|GUJ93_ZPchr0001g29396-1,1,1
GUJ93_ZPchr0001g29397,gnl|KimballUMN|GUJ93_ZPchr0001g29397-1,1,1
GUJ93_ZPchr0001g29398,gnl|KimballUMN|GUJ93_ZPchr0001g29398-1,1,1
GUJ93_ZPchr0001g29399,gnl|KimballUMN|GUJ93_ZPchr0001g29399-1,1,1
GUJ93_ZPchr0001g29400,gnl|KimballUMN|GUJ93_ZPchr0001g29400-1,1,1
GUJ93_ZPchr0001g29401,gnl|KimballUMN|GUJ93_ZPchr0001g29401-1,1,1
GUJ93_ZPchr0001g29402,gnl|KimballUMN|GUJ93_ZPchr0001g29402-1,1,1
GUJ93_ZPchr0001g29403,gnl|KimballUMN|GUJ93_ZPchr0001g29403-1,1,1
GUJ93_ZPchr0001g29404,gnl|KimballUMN|GUJ93_ZPchr0001g29404-1,1,1
GUJ93_ZPchr0001g29405,gnl|KimballUMN|GUJ93_ZPchr0001g29405-1,1,1
GUJ93_ZPchr0001g29406,gnl|KimballUMN|GUJ93_ZPchr0001g29406-1,1,1
GUJ93_ZPchr0001g29407,gnl|KimballUMN|GUJ93_ZPchr0001g29407-1,1,1
GUJ93_ZPchr0001g29408,gnl|KimballUMN|GUJ93_ZPchr0001g29408-1,1,1
GUJ93_ZPchr0001g29409,gnl|KimballUMN|GUJ93_ZPchr0001g29409-1,1,1
GUJ93_ZPchr0001g29410,gnl|KimballUMN|GUJ93_ZPchr0001g29410-1,1,1
GUJ93_ZPchr0001g29411,gnl|KimballUMN|GUJ93_ZPchr0001g29411-1,1,1
GUJ93_ZPchr0001g29412,gnl|KimballUMN|GUJ93_ZPchr0001g29412-1,1,1
GUJ93_ZPchr0001g29413,gnl|KimballUMN|GUJ93_ZPchr0001g29413-1,1,1
GUJ93_ZPchr0001g29414,gnl|KimballUMN|GUJ93_ZPchr0001g29414-1,1,1
GUJ93_ZPchr0001g29415,gnl|KimballUMN|GUJ93_ZPchr0001g29415-1,1,1
GUJ93_ZPchr0001g29416,gnl|KimballUMN|GUJ93_ZPchr0001g29416-1,1,1
GUJ93_ZPchr0001g29417,gnl|KimballUMN|GUJ93_ZPchr0001g29417-1,1,1
GUJ93_ZPchr0001g29418,gnl|KimballUMN|GUJ93_ZPchr0001g29418-3,1,1
GUJ93_ZPchr0001g29418,gnl|KimballUMN|GUJ93_ZPchr0001g29418-1,1,2
GUJ93_ZPchr0001g29418,gnl|KimballUMN|GUJ93_ZPchr0001g29418-2,2,1
GUJ93_ZPchr0001g29419,gnl|KimballUMN|GUJ93_ZPchr0001g29419-1,1,1
GUJ93_ZPchr0001g29420,gnl|KimballUMN|GUJ93_ZPchr0001g29420-3,1,1
GUJ93_ZPchr0001g29420,gnl|KimballUMN|GUJ93_ZPchr0001g29420-1,2,1
GUJ93_ZPchr0001g29420,gnl|KimballUMN|GUJ93_ZPchr0001g29420-2,3,1
GUJ93_ZPchr0001g29421,gnl|KimballUMN|GUJ93_ZPchr0001g29421-1,1,1
GUJ93_ZPchr0001g29422,gnl|KimballUMN|GUJ93_ZPchr0001g29422-1,1,1
GUJ93_ZPchr0001g29423,gnl|KimballUMN|GUJ93_ZPchr0001g29423-1,1,1
GUJ93_ZPchr0001g29424,gnl|KimballUMN|GUJ93_ZPchr0001g29424-1,1,1
GUJ93_ZPchr0001g29425,gnl|KimballUMN|GUJ93_ZPchr0001g29425-1,1,1
GUJ93_ZPchr0001g29426,gnl|KimballUMN|GUJ93_ZPchr0001g29426-1,1,1
GUJ93_ZPchr0001g29427,gnl|KimballUMN|GUJ93_ZPchr0001g29427-1,1,1
GUJ93_ZPchr0001g29428,gnl|KimballUMN|GUJ93_ZPchr0001g29428-1,1,1
GUJ93_ZPchr0001g29429,gnl|KimballUMN|GUJ93_ZPchr0001g29429-1,1,1
GUJ93_ZPchr0001g29430,gnl|KimballUMN|GUJ93_ZPchr0001g29430-1,1,1
GUJ93_ZPchr0001g29431,gnl|KimballUMN|GUJ93_ZPchr0001g29431-1,1,1
GUJ93_ZPchr0001g29432,gnl|KimballUMN|GUJ93_ZPchr0001g29432-1,1,1
GUJ93_ZPchr0001g29433,gnl|KimballUMN|GUJ93_ZPchr0001g29433-1,1,1
GUJ93_ZPchr0001g29434,gnl|KimballUMN|GUJ93_ZPchr0001g29434-1,1,1
GUJ93_ZPchr0001g29435,gnl|KimballUMN|GUJ93_ZPchr0001g29435-1,1,1
GUJ93_ZPchr0001g29436,gnl|KimballUMN|GUJ93_ZPchr0001g29436-1,1,1
GUJ93_ZPchr0001g29437,gnl|KimballUMN|GUJ93_ZPchr0001g29437-1,1,1
GUJ93_ZPchr0001g29438,gnl|KimballUMN|GUJ93_ZPchr0001g29438-1,1,1
GUJ93_ZPchr0001g29439,gnl|KimballUMN|GUJ93_ZPchr0001g29439-1,1,1
GUJ93_ZPchr0001g29440,gnl|KimballUMN|GUJ93_ZPchr0001g29440-2,1,1
GUJ93_ZPchr0001g29440,gnl|KimballUMN|GUJ93_ZPchr0001g29440-1,1,2
GUJ93_ZPchr0001g29441,gnl|KimballUMN|GUJ93_ZPchr0001g29441-1,1,1
GUJ93_ZPchr0001g29442,gnl|KimballUMN|GUJ93_ZPchr0001g29442-1,1,1
GUJ93_ZPchr0001g29443,gnl|KimballUMN|GUJ93_ZPchr0001g29443-1,1,1
GUJ93_ZPchr0001g29444,gnl|KimballUMN|GUJ93_ZPchr0001g29444-1,1,1
GUJ93_ZPchr0001g29445,gnl|KimballUMN|GUJ93_ZPchr0001g29445-1,1,1
GUJ93_ZPchr0001g29446,gnl|KimballUMN|GUJ93_ZPchr0001g29446-1,1,1
GUJ93_ZPchr0001g29446,gnl|KimballUMN|GUJ93_ZPchr0001g29446-2,2,1
GUJ93_ZPchr0001g29447,gnl|KimballUMN|GUJ93_ZPchr0001g29447-1,1,1
GUJ93_ZPchr0001g29448,gnl|KimballUMN|GUJ93_ZPchr0001g29448-1,1,1
GUJ93_ZPchr0001g29449,gnl|KimballUMN|GUJ93_ZPchr0001g29449-1,1,1
GUJ93_ZPchr0001g29450,gnl|KimballUMN|GUJ93_ZPchr0001g29450-1,1,1
GUJ93_ZPchr0001g29450,gnl|KimballUMN|GUJ93_ZPchr0001g29450-3,2,1
GUJ93_ZPchr0001g29450,gnl|KimballUMN|GUJ93_ZPchr0001g29450-2,3,1
GUJ93_ZPchr0001g29450,gnl|KimballUMN|GUJ93_ZPchr0001g29450-4,4,1
GUJ93_ZPchr0001g29450,gnl|KimballUMN|GUJ93_ZPchr0001g29450-5,5,1
GUJ93_ZPchr0001g29451,gnl|KimballUMN|GUJ93_ZPchr0001g29451-1,1,1
GUJ93_ZPchr0001g29452,gnl|KimballUMN|GUJ93_ZPchr0001g29452-2,1,1
GUJ93_ZPchr0001g29452,gnl|KimballUMN|GUJ93_ZPchr0001g29452-1,2,1
GUJ93_ZPchr0001g29453,gnl|KimballUMN|GUJ93_ZPchr0001g29453-1,1,1
GUJ93_ZPchr0001g29454,gnl|KimballUMN|GUJ93_ZPchr0001g29454-1,1,1
GUJ93_ZPchr0001g29455,gnl|KimballUMN|GUJ93_ZPchr0001g29455-1,1,1
GUJ93_ZPchr0001g29456,gnl|KimballUMN|GUJ93_ZPchr0001g29456-1,1,1
GUJ93_ZPchr0001g29457,gnl|KimballUMN|GUJ93_ZPchr0001g29457-1,1,1
GUJ93_ZPchr0001g29458,gnl|KimballUMN|GUJ93_ZPchr0001g29458-1,1,1
GUJ93_ZPchr0001g29459,gnl|KimballUMN|GUJ93_ZPchr0001g29459-1,1,1
GUJ93_ZPchr0001g29460,gnl|KimballUMN|GUJ93_ZPchr0001g29460-1,1,1
